timestamp_ms,value
599616611053.613,-126
599616611061.3053,-121
599616611068.9977,-109
599616611076.69,-107
599616611084.3823,-104
599616611092.0746,-107
599616611099.7668,-126
599616611107.4592,-135
599616611115.1515,-123
599616611122.8438,-114
599616611130.5361,-119
599616611138.2284,-119
599616611145.9208,-128
599616611153.613,-135
599616611161.3053,-133
599616611168.9977,-133
599616611176.69,-135
599616611184.3823,-133
599616611192.0746,-138
599616611199.7668,-135
599616611207.4592,-128
599616611215.1515,-128
599616611222.8438,-126
599616611230.5361,-128
599616611238.2284,-133
599616611245.9208,-126
599616611253.613,-109
599616611261.3053,-102
599616611268.9977,-97
599616611276.69,-92
599616611284.3823,-97
599616611292.0746,-104
599616611299.7668,-116
599616611307.4592,-133
599616611315.1515,-133
599616611322.8438,-140
599616611330.5361,-157
599616611338.2284,-157
599616611345.9208,-143
599616611353.613,-143
599616611361.3053,-150
599616611368.9977,-152
599616611376.69,-150
599616611384.3823,-143
599616611392.0746,-126
599616611399.7668,-92
599616611407.4592,-35
599616611415.1515,7
599616611422.8438,14
599616611430.5361,-45
599616611438.2284,-236
599616611445.9208,-448
599616611453.613,-402
599616611461.3053,-181
599616611468.9977,-90
599616611476.69,-116
599616611484.3823,-104
599616611492.0746,-85
599616611499.7668,-97
599616611507.4592,-104
599616611515.1515,-97
599616611522.8438,-90
599616611530.5361,-88
599616611538.2284,-85
599616611545.9208,-85
599616611553.613,-85
599616611561.3053,-83
599616611568.9977,-73
599616611576.69,-61
599616611584.3823,-57
599616611592.0746,-59
599616611599.7668,-54
599616611607.4592,-45
599616611615.1748,-35
599616611622.8671,-21
599616611630.5594,-9
599616611638.2517,-4
599616611645.9441,-7
599616611653.6364,-9
599616611661.3286,-9
599616611669.021,-7
599616611676.7133,-23
599616611684.4055,-57
599616611692.0979,-88
599616611699.7902,-104
599616611707.4825,-114
599616611715.1748,-123
599616611722.8671,-133
599616611730.5594,-140
599616611738.2517,-143
599616611745.9441,-138
599616611753.6364,-135
599616611761.3286,-131
599616611769.021,-133
599616611776.7133,-150
599616611784.4055,-152
599616611792.0979,-143
599616611799.7902,-135
599616611807.4825,-135
599616611815.1748,-162
599616611822.8671,-183
599616611830.5594,-171
599616611838.2517,-159
599616611845.9441,-159
599616611853.6364,-162
599616611861.3286,-162
599616611869.021,-162
599616611876.7133,-159
599616611884.4055,-157
599616611892.0979,-154
599616611899.7902,-150
599616611907.4825,-145
599616611915.1748,-140
599616611922.8671,-140
599616611930.5594,-140
599616611938.2517,-133
599616611945.9441,-126
599616611953.6364,-123
599616611961.3286,-114
599616611969.021,-109
599616611976.7133,-114
599616611984.4055,-119
599616611992.0979,-131
599616611999.7902,-145
599616612007.4825,-138
599616612015.1748,-140
599616612022.8671,-154
599616612030.5594,-154
599616612038.2517,-150
599616612045.9441,-154
599616612053.6364,-154
