timestamp_ms,value
599617303348.6956,21
599617303356.3878,9
599617303364.0802,9
599617303371.7725,24
599617303379.4648,17
599617303387.1571,14
599617303394.8494,29
599617303402.5417,24
599617303410.234,12
599617303417.9263,26
599617303425.6187,24
599617303433.3109,0
599617303441.0033,7
599617303448.6956,29
599617303456.3878,34
599617303464.0802,36
599617303471.7725,36
599617303479.4648,29
599617303487.1571,29
599617303494.8494,31
599617303502.5417,26
599617303510.234,24
599617303517.9263,17
599617303525.6187,-4
599617303533.3109,-19
599617303541.0033,-12
599617303548.6956,-7
599617303556.3878,-9
599617303564.0802,-12
599617303571.7725,-48
599617303579.4648,-85
599617303587.1571,80
599617303594.8494,593
599617303602.5417,1179
599617303610.234,1213
599617303617.9263,463
599617303625.6187,-341
599617303633.3109,-437
599617303641.0033,-163
599617303648.6956,-126
599617303656.3878,-185
599617303664.0802,-126
599617303671.7725,-90
599617303679.4648,-92
599617303687.1571,-63
599617303694.8494,-43
599617303702.5417,-48
599617303710.234,-34
599617303717.9263,-14
599617303725.6187,-12
599617303733.3109,-7
599617303741.0033,4
599617303748.6956,9
599617303756.3878,12
599617303764.0802,26
599617303771.7725,39
599617303779.4648,36
599617303787.1571,43
599617303794.8494,65
599617303802.5417,80
599617303810.234,100
599617303817.9263,126
599617303825.6187,148
599617303833.3109,170
599617303841.0033,195
599617303848.6956,207
599617303856.3878,219
599617303864.0802,222
599617303871.7725,207
599617303879.4648,178
599617303887.1571,124
599617303894.8494,53
599617303902.5417,-12
599617303910.7557,-51
599617303918.448,-80
599617303926.1404,-95
599617303933.8326,-90
599617303941.525,-83
599617303949.2173,-75
599617303956.9095,-65
599617303964.6019,-61
599617303972.2942,-63
599617303979.9865,-58
599617303987.6788,-46
599617303995.3711,-36
599617304003.0635,-31
599617304010.7557,-31
599617304018.448,-34
599617304026.1404,-34
599617304033.8326,-24
599617304041.525,-12
599617304049.2173,-7
599617304056.9095,-7
599617304064.6019,-9
599617304072.2942,-4
599617304079.9865,-4
599617304087.6788,-14
599617304095.3711,-19
599617304103.0635,-14
599617304110.7557,-9
599617304118.448,-2
599617304126.1404,-2
599617304133.8326,-2
599617304141.525,-2
599617304149.2173,-2
599617304156.9095,0
599617304164.6019,0
599617304172.2942,2
599617304179.9865,4
599617304187.6788,2
599617304195.3711,-2
599617304203.0635,-2
599617304210.7557,2
599617304218.448,7
599617304226.1404,9
599617304233.8326,9
599617304241.525,12
599617304249.2173,12
599617304256.9095,7
599617304264.6019,4
599617304272.2942,7
599617304279.9865,7
599617304287.6788,0
599617304295.3711,0
599617304303.0635,-2
599617304310.7557,0
599617304318.448,4
599617304326.1404,9
599617304333.8326,17
599617304341.525,26
599617304349.2173,26
599617304356.9095,26
599617304364.6019,21
599617304372.2942,12
599617304379.9865,4
599617304387.6788,7
599617304395.3711,0
599617304403.0635,-17
599617304410.7557,-24
599617304418.448,-19
599617304426.1404,-19
599617304433.8326,-19
599617304441.525,-19
599617304449.2173,-46
599617304456.9095,-65
599617304464.6019,109
599617304472.8159,615
599617304480.5082,1203
599617304488.2006,1269
599617304495.8928,559
599617304503.5852,-268
599617304511.2775,-444
599617304518.9697,-205
599617304526.6621,-153
599617304534.3544,-212
599617304542.0466,-156
599617304549.739,-114
599617304557.4313,-129
599617304565.1237,-107
599617304572.8159,-80
599617304580.5082,-75
599617304588.2006,-65
599617304595.8928,-58
599617304603.5852,-56
599617304611.2775,-41
599617304618.9697,-26
599617304626.6621,-17
599617304634.3544,-9
599617304642.0466,-4
599617304649.739,-4
599617304657.4313,4
599617304665.1237,24
599617304672.8159,41
599617304680.5082,53
599617304688.2006,68
599617304695.8928,87
599617304703.5852,107
599617304711.2775,126
599617304718.9697,151
599617304726.6621,173
599617304734.3544,180
599617304742.0466,180
599617304749.739,178
599617304757.4313,156
599617304765.1237,107
599617304772.8159,51
599617304780.5082,-4
599617304788.2006,-56
599617304795.8928,-83
599617304803.5852,-90
599617304811.2775,-90
599617304818.9697,-90
599617304826.6621,-90
599617304834.3544,-80
599617304842.0466,-65
599617304849.739,-53
599617304857.4313,-51
599617304865.1237,-43
599617304872.8159,-31
599617304880.5082,-31
599617304888.2006,-34
599617304895.8928,-26
599617304903.5852,-21
599617304911.2775,-19
599617304918.9697,-19
599617304926.6621,-19
599617304934.3544,-21
599617304942.0466,-17
599617304949.739,-17
599617304957.4313,-21
599617304965.1237,-14
599617304972.8159,-2
599617304980.5082,-2
599617304988.2006,-7
599617304995.8928,0
599617305003.5852,0
599617305011.2775,-4
599617305018.9697,-2
599617305026.6621,2
599617305034.876,0
599617305042.5682,-2
599617305050.2606,0
599617305057.9529,2
599617305065.6453,0
599617305073.3375,0
599617305081.0298,0
599617305088.7222,-2
599617305096.4144,-9
599617305104.1067,-9
599617305111.7991,-2
599617305119.4913,-9
599617305127.1837,-12
599617305134.876,-4
599617305142.5682,-4
599617305150.2606,-2
599617305157.9529,2
599617305165.6453,-4
599617305173.3375,-12
599617305181.0298,-9
599617305188.7222,-2
599617305196.4144,7
599617305204.1067,7
599617305211.7991,2
599617305219.4913,-2
599617305227.1837,-2
599617305234.876,7
599617305242.5682,17
599617305250.2606,19
599617305257.9529,9
599617305265.6453,7
599617305273.3375,7
599617305281.0298,2
599617305288.7222,0
599617305296.4144,0
599617305304.1067,-9
599617305311.7991,-24
599617305319.4913,-29
599617305327.1837,-26
599617305334.876,-24
599617305342.5682,-21
599617305350.2606,-36
599617305357.9529,-75
599617305365.6453,-51
599617305373.3375,214
599617305381.0298,761
599617305388.7222,1228
599617305396.4144,1052
599617305404.1067,246
599617305411.7991,-371
599617305419.4913,-344
599617305427.1837,-163
599617305434.876,-190
599617305442.5682,-214
599617305450.2606,-148
599617305457.9529,-122
599617305465.6453,-122
599617305473.3375,-92
599617305481.0298,-75
599617305488.7222,-83
599617305496.4144,-83
599617305504.1067,-65
599617305511.7991,-48
599617305519.4913,-36
599617305527.1837,-31
599617305534.876,-31
599617305542.5682,-24
599617305550.2606,-9
599617305557.9529,0
599617305565.6453,9
599617305573.3375,19
599617305581.0298,26
599617305588.7222,36
599617305596.9058,48
599617305604.598,61
599617305612.2904,78
599617305619.9827,100
599617305627.675,112
599617305635.3673,119
599617305643.0596,134
599617305650.752,146
599617305658.4442,144
599617305666.1365,119
599617305673.8289,70
599617305681.5211,14
599617305689.2135,-31
599617305696.9058,-63
599617305704.598,-85
599617305712.2904,-100
599617305719.9827,-109
599617305727.675,-107
599617305735.3673,-95
599617305743.0596,-87
599617305750.752,-83
599617305758.4442,-73
599617305766.1365,-65
599617305773.8289,-61
599617305781.5211,-48
599617305789.2135,-41
599617305796.9058,-41
599617305804.598,-43
599617305812.2904,-39
599617305819.9827,-31
599617305827.675,-31
599617305835.3673,-26
599617305843.0596,-26
599617305850.752,-29
599617305858.4442,-29
599617305866.1365,-24
599617305873.8289,-17
599617305881.5211,-14
599617305889.2135,-9
599617305896.9058,-7
599617305904.598,-9
599617305912.2904,-7
599617305919.9827,0
599617305927.675,0
599617305935.3673,-2
599617305943.0596,0
599617305950.752,-4
599617305958.4442,-4
599617305966.1365,2
599617305973.8289,4
599617305981.5211,-2
599617305989.2135,-7
599617305996.9058,-12
599617306004.598,-9
599617306012.2904,2
599617306019.9827,7
599617306027.675,7
599617306035.3673,9
599617306043.0596,9
599617306050.752,7
599617306058.4442,4
599617306066.1365,4
599617306073.8289,2
599617306081.5211,0
599617306089.2135,9
599617306096.9058,14
599617306104.598,2
599617306112.2904,-4
599617306119.9827,0
599617306127.675,2
599617306135.3673,9
599617306143.0596,29
599617306150.752,39
599617306158.966,34
599617306166.6582,29
599617306174.3506,26
599617306182.0428,24
599617306189.7352,21
599617306197.4275,14
599617306205.1198,7
599617306212.8121,-4
599617306220.5044,-19
599617306228.1967,-14
599617306235.889,-7
599617306243.5813,-14
599617306251.2737,-24
599617306258.966,-56
599617306266.6582,-56
599617306274.3506,170
599617306282.0428,700
599617306289.7352,1206
599617306297.4275,1113
599617306305.1198,329
599617306312.8121,-358
599617306320.5044,-371
599617306328.1967,-158
599617306335.889,-170
599617306343.5813,-200
599617306351.2737,-131
599617306358.966,-112
599617306366.6582,-119
599617306374.3506,-80
599617306382.0428,-56
599617306389.7352,-65
599617306397.4275,-61
599617306405.1198,-34
599617306412.8121,-26
599617306420.5044,-26
599617306428.1967,-12
