timestamp_ms,value
599616231349.3895,-153
599616231357.0818,-156
599616231364.7742,-158
599616231372.4664,-156
599616231380.1588,-151
599616231387.8511,-153
599616231395.5433,-158
599616231403.2357,-170
599616231410.928,-175
599616231418.6202,-165
599616231426.3126,-161
599616231434.0049,-161
599616231441.6973,-165
599616231449.3895,-177
599616231457.0818,-177
599616231464.7742,-168
599616231472.4664,-170
599616231480.1588,-168
599616231487.8511,-170
599616231495.5433,-187
599616231503.2357,-185
599616231510.928,-173
599616231518.6202,-173
599616231526.3126,-175
599616231534.0049,-177
599616231541.6973,-187
599616231549.3895,-185
599616231557.0818,-180
599616231564.7742,-180
599616231572.4664,-175
599616231580.1588,-173
599616231587.8511,-173
599616231595.5433,-170
599616231603.2357,-165
599616231610.928,-163
599616231618.6202,-163
599616231626.3126,-161
599616231634.0049,-158
599616231641.6973,-156
599616231649.3895,-149
599616231657.0818,-141
599616231664.7742,-141
599616231672.4664,-146
599616231680.1588,-141
599616231687.8511,-137
599616231695.5433,-134
599616231703.2357,-132
599616231710.928,-132
599616231718.6202,-141
599616231726.3126,-146
599616231734.0049,-141
599616231741.6973,-134
599616231749.3895,-134
599616231757.0818,-132
599616231764.7742,-125
599616231772.4664,-113
599616231780.1588,-98
599616231787.8511,-88
599616231795.5433,-76
599616231803.2357,-74
599616231810.928,-91
599616231818.6202,-103
599616231826.3126,-101
599616231834.0049,-110
599616231841.6973,-125
599616231849.3895,-134
599616231857.0818,-137
599616231864.7742,-129
599616231872.4664,-125
599616231880.1588,-125
599616231887.8511,-122
599616231895.5433,-120
599616231903.2357,-88
599616231910.7682,12
599616231918.4604,127
599616231926.1528,120
599616231933.8451,-101
599616231941.5375,-416
599616231949.2297,-495
599616231956.922,-303
599616231964.6144,-182
599616231972.3066,-189
599616231979.9989,-156
599616231987.6913,-134
599616231995.3835,-165
599616232003.0759,-165
599616232010.7682,-149
599616232018.4604,-156
599616232026.1528,-165
599616232033.8451,-177
599616232041.5375,-180
599616232049.2297,-170
599616232056.922,-161
599616232064.6144,-163
599616232072.3066,-173
599616232079.9989,-180
599616232087.6913,-175
599616232095.3835,-163
599616232103.0759,-156
599616232110.7682,-158
599616232118.4604,-163
599616232126.1528,-170
599616232133.8451,-163
599616232141.5375,-149
599616232149.2297,-137
599616232156.922,-132
599616232164.6144,-132
599616232172.3066,-132
599616232179.9989,-117
599616232187.6913,-101
599616232195.3835,-91
599616232203.0759,-88
599616232210.7682,-93
599616232218.4604,-93
599616232226.1528,-91
599616232233.8451,-101
599616232241.5375,-113
599616232249.2297,-122
599616232256.922,-137
599616232264.6144,-153
599616232272.3066,-163
599616232279.9989,-168
599616232287.6913,-170
599616232295.3835,-175
599616232303.0759,-182
599616232310.7682,-180
599616232318.4604,-173
599616232326.1528,-173
599616232333.8451,-170
599616232341.5375,-168
599616232349.2297,-165
599616232356.922,-161
599616232364.6144,-156
599616232372.3066,-153
599616232379.9989,-149
599616232387.6913,-146
599616232395.3835,-144
599616232403.0759,-137
599616232410.7682,-129
599616232418.4604,-125
599616232426.1528,-127
599616232433.8451,-129
599616232441.5375,-125
599616232449.2297,-120
599616232456.922,-122
599616232464.6144,-125
599616232472.1772,-120
599616232479.8695,-125
599616232487.5619,-127
599616232495.2542,-122
599616232502.9465,-122
599616232510.6388,-122
599616232518.331,-120
599616232526.0234,-125
599616232533.7157,-127
599616232541.408,-125
599616232549.1003,-122
599616232556.7926,-120
599616232564.485,-122
599616232572.1772,-134
599616232579.8695,-146
599616232587.5619,-141
599616232595.2542,-134
599616232602.9465,-134
599616232610.6388,-132
599616232618.331,-134
599616232626.0234,-134
599616232633.7157,-129
599616232641.408,-117
599616232649.1003,-105
599616232656.7926,-93
599616232664.485,-84
599616232672.1772,-76
599616232679.8695,-76
599616232687.5619,-84
599616232695.2542,-101
599616232702.9465,-115
599616232710.6388,-125
599616232718.331,-134
599616232726.0234,-144
599616232733.7157,-149
599616232741.408,-151
599616232749.1003,-151
599616232756.7926,-151
599616232764.485,-146
599616232772.1772,-134
599616232779.8695,-98
599616232787.5619,2
599616232795.2542,120
599616232802.9465,110
599616232810.6388,-113
599616232818.331,-413
599616232826.0234,-464
599616232833.7157,-266
599616232841.408,-158
599616232849.1003,-161
599616232856.7926,-117
599616232864.485,-84
599616232872.1772,-105
599616232879.8695,-108
599616232887.5619,-96
599616232895.2542,-103
599616232902.9465,-105
599616232910.6388,-101
599616232918.331,-101
599616232926.0234,-101
599616232933.7157,-101
599616232941.408,-101
599616232949.1003,-105
599616232956.7926,-110
599616232964.485,-105
599616232972.1772,-105
599616232979.8695,-110
599616232987.5619,-108
599616232995.2542,-105
599616233002.9465,-110
599616233010.6388,-103
599616233018.331,-93
599616233026.0234,-91
599616233033.5558,-88
599616233041.248,-76
599616233048.9404,-64
599616233056.6327,-55
599616233064.3251,-50
599616233072.0173,-48
599616233079.7096,-43
599616233087.402,-38
599616233095.0942,-38
599616233102.7865,-45
599616233110.4789,-62
599616233118.1711,-86
599616233125.8635,-101
599616233133.5558,-115
599616233141.248,-132
599616233148.9404,-144
599616233156.6327,-161
599616233164.3251,-180
599616233172.0173,-180
599616233179.7096,-175
599616233187.402,-185
599616233195.0942,-199
599616233202.7865,-209
599616233210.4789,-206
599616233218.1711,-199
599616233225.8635,-199
599616233233.5558,-204
599616233241.248,-214
599616233248.9404,-230
599616233256.6327,-228
599616233264.3251,-206
599616233272.0173,-202
599616233279.7096,-204
599616233287.402,-202
599616233295.0942,-206
599616233302.7865,-206
599616233310.4789,-199
599616233318.1711,-189
599616233325.8635,-182
599616233333.5558,-180
599616233341.248,-180
599616233348.9404,-175
599616233356.6327,-175
599616233364.3251,-173
599616233372.0173,-168
599616233379.7096,-165
599616233387.402,-168
599616233395.0942,-163
599616233402.7865,-158
599616233410.4789,-156
599616233418.1711,-156
599616233425.8635,-158
599616233433.5558,-158
599616233441.248,-161
599616233448.9404,-158
599616233456.6327,-153
599616233464.3251,-151
599616233472.0173,-151
599616233479.7096,-149
599616233487.402,-144
599616233495.0942,-141
599616233502.7865,-141
599616233510.4789,-141
599616233518.1711,-139
599616233525.8635,-134
599616233533.5558,-132
599616233541.248,-125
599616233548.9404,-113
599616233556.6327,-103
599616233564.3251,-93
599616233572.0173,-81
599616233579.7096,-74
