timestamp_ms,value
599616235934.8411,-289
599616235942.5333,-287
599616235950.2257,-289
599616235957.918,-292
599616235965.6104,-289
599616235973.3026,-289
599616235980.9949,-294
599616235988.6873,-294
599616235996.3795,-294
599616236004.0718,-297
599616236011.7642,-289
599616236019.4564,-285
599616236027.1488,-287
599616236034.8411,-282
599616236042.5333,-275
599616236050.2257,-275
599616236057.918,-275
599616236065.6104,-275
599616236073.3026,-270
599616236080.9949,-254
599616236088.6873,-242
599616236096.3795,-254
599616236104.0718,-263
599616236111.7642,-258
599616236119.4564,-270
599616236127.1488,-289
599616236134.8411,-289
599616236142.5333,-285
599616236150.2257,-289
599616236157.918,-285
599616236165.6104,-273
599616236173.3026,-270
599616236180.9949,-270
599616236188.6873,-285
599616236196.3795,-244
599616236204.0718,16
599616236211.7642,395
599616236219.4564,390
599616236227.1488,-134
599616236234.8411,-541
599616236242.5333,-443
599616236250.2257,-289
599616236257.918,-345
599616236265.6104,-361
599616236273.3026,-306
599616236280.9949,-306
599616236288.6873,-316
599616236296.3795,-294
599616236304.0718,-285
599616236311.7642,-287
599616236319.4564,-278
599616236327.1488,-275
599616236334.8411,-273
599616236342.5333,-266
599616236350.2257,-258
599616236357.918,-256
599616236365.6104,-254
599616236373.3026,-249
599616236380.9949,-246
599616236388.6873,-244
599616236396.3795,-237
599616236404.0718,-227
599616236411.7642,-220
599616236419.4564,-215
599616236427.1488,-203
599616236434.8411,-191
599616236442.5333,-179
599616236450.2257,-172
599616236457.918,-165
599616236465.6104,-165
599616236473.3026,-167
599616236480.9949,-174
599616236488.6873,-201
599616236496.2502,-246
599616236503.9425,-289
599616236511.6349,-313
599616236519.3271,-330
599616236527.0195,-333
599616236534.7118,-323
599616236542.404,-321
599616236550.0964,-318
599616236557.7887,-311
599616236565.481,-306
599616236573.1733,-301
599616236580.8656,-297
599616236588.558,-292
599616236596.2502,-289
599616236603.9425,-289
599616236611.6349,-287
599616236619.3271,-282
599616236627.0195,-282
599616236634.7118,-287
599616236642.404,-287
599616236650.0964,-282
599616236657.7887,-282
599616236665.481,-278
599616236673.1733,-273
599616236680.8656,-270
599616236688.558,-270
599616236696.2502,-273
599616236703.9425,-273
599616236711.6349,-268
599616236719.3271,-266
599616236727.0195,-266
599616236734.7118,-266
599616236742.404,-268
599616236750.0964,-268
599616236757.7887,-263
599616236765.481,-261
599616236773.1733,-261
599616236780.8656,-261
599616236788.558,-263
599616236796.2502,-261
599616236803.9425,-256
599616236811.6349,-256
599616236819.3271,-256
599616236827.0195,-256
599616236834.7118,-258
599616236842.404,-256
599616236850.0964,-251
599616236857.7887,-254
599616236865.481,-249
599616236873.1733,-232
599616236880.8656,-227
599616236888.558,-244
599616236896.2502,-246
599616236903.9425,-237
599616236911.6349,-256
599616236919.3271,-280
599616236927.0195,-280
599616236934.7118,-268
599616236942.404,-268
599616236950.0964,-268
599616236957.7887,-263
599616236965.481,-258
599616236973.1733,-261
599616236980.8656,-268
599616236988.558,-263
599616236996.2502,-105
599616237003.9425,256
599616237011.6349,484
599616237019.3271,208
599616237027.0195,-347
599616237034.7118,-541
599616237042.404,-357
599616237050.0964,-306
599616237057.6288,-383
599616237065.321,-347
599616237073.0134,-301
599616237080.7057,-313
599616237088.3981,-309
599616237096.0903,-289
599616237103.7826,-289
599616237111.475,-287
599616237119.1672,-275
599616237126.8595,-273
599616237134.5519,-275
599616237142.2441,-273
599616237149.9365,-268
599616237157.6288,-263
599616237165.321,-251
599616237173.0134,-246
599616237180.7057,-246
599616237188.3981,-246
599616237196.0903,-239
599616237203.7826,-227
599616237211.475,-220
599616237219.1672,-210
599616237226.8595,-198
599616237234.5519,-189
599616237242.2441,-182
599616237249.9365,-172
599616237257.6288,-165
599616237265.321,-162
599616237273.0134,-162
599616237280.7057,-179
599616237288.3981,-213
599616237296.0903,-254
599616237303.7826,-292
599616237311.475,-311
599616237319.1672,-321
599616237326.8595,-330
599616237334.5519,-325
599616237342.2441,-316
599616237349.9365,-311
599616237357.6288,-306
599616237365.321,-299
599616237373.0134,-299
599616237380.7057,-299
599616237388.3981,-292
599616237396.0903,-287
599616237403.7826,-287
599616237411.475,-287
599616237419.1672,-287
599616237426.8595,-282
599616237434.5519,-280
599616237442.2441,-280
599616237449.9365,-278
599616237457.6288,-278
599616237465.321,-278
599616237473.0134,-273
599616237480.7057,-270
599616237488.3981,-270
599616237496.0903,-268
599616237503.7826,-268
599616237511.475,-278
599616237519.1672,-273
599616237526.8595,-263
599616237534.5519,-266
599616237542.2441,-266
599616237549.9365,-261
599616237557.6288,-263
599616237565.321,-261
599616237573.0134,-261
599616237580.7057,-263
599616237588.3981,-261
599616237596.0903,-261
599616237603.7826,-261
599616237611.475,-258
599616237619.0074,-263
599616237626.6997,-268
599616237634.3921,-261
599616237642.0844,-258
599616237649.7767,-261
599616237657.469,-258
599616237665.1613,-258
599616237672.8536,-258
599616237680.5459,-258
599616237688.2382,-266
599616237695.9305,-266
599616237703.6228,-256
599616237711.3152,-256
599616237719.0074,-261
599616237726.6997,-256
599616237734.3921,-258
599616237742.0844,-256
599616237749.7767,-254
599616237757.469,-258
599616237765.1613,-258
599616237772.8536,-256
599616237780.5459,-256
599616237788.2382,-254
599616237795.9305,-251
599616237803.6228,-254
599616237811.3152,-254
599616237819.0074,-242
599616237826.6997,-225
599616237834.3921,-225
599616237842.0844,-242
599616237849.7767,-242
599616237857.469,-246
599616237865.1613,-273
599616237872.8536,-287
599616237880.5459,-273
599616237888.2382,-263
599616237895.9305,-270
599616237903.6228,-270
599616237911.3152,-263
599616237919.0074,-261
599616237926.6997,-258
599616237934.3921,-263
599616237942.0844,-270
599616237949.7767,-134
599616237957.469,220
599616237965.1613,493
599616237972.8536,273
599616237980.5459,-301
599616237988.2382,-558
599616237995.9305,-385
599616238003.6228,-311
599616238011.3152,-395
599616238019.0074,-364
599616238026.6997,-306
599616238034.3921,-323
599616238042.0844,-325
599616238049.7767,-297
599616238057.469,-292
599616238065.1613,-292
599616238072.8536,-282
599616238080.5459,-278
599616238088.2382,-278
599616238095.9305,-268
599616238103.6228,-263
599616238111.3152,-261
599616238119.0074,-261
599616238126.6997,-254
599616238134.3921,-246
599616238142.0844,-242
599616238149.7767,-232
599616238157.469,-225
599616238165.1613,-220
599616238172.8536,-213
599616238180.4166,-206
599616238188.1089,-194
599616238195.8013,-179
599616238203.4935,-172
599616238211.1859,-167
599616238218.8782,-162
599616238226.5704,-170
599616238234.2628,-172
599616238241.9551,-186
599616238249.6473,-222
599616238257.3397,-266
599616238265.032,-292
599616238272.7244,-311
599616238280.4166,-316
599616238288.1089,-313
599616238295.8013,-311
599616238303.4935,-309
599616238311.1859,-304
599616238318.8782,-299
599616238326.5704,-289
599616238334.2628,-285
599616238341.9551,-285
599616238349.6473,-282
599616238357.3397,-285
599616238365.032,-289
599616238372.7244,-282
599616238380.4166,-275
599616238388.1089,-278
599616238395.8013,-278
599616238403.4935,-278
599616238411.1859,-278
599616238418.8782,-270
599616238426.5704,-268
599616238434.2628,-270
599616238441.9551,-268
599616238449.6473,-268
599616238457.3397,-268
599616238465.032,-263
599616238472.7244,-263
599616238480.4166,-263
599616238488.1089,-263
599616238495.8013,-263
599616238503.4935,-266
599616238511.1859,-263
599616238518.8782,-268
599616238526.5704,-266
599616238534.2628,-258
599616238541.9551,-261
599616238549.6473,-263
