timestamp_ms,value
599616886423.6409,111
599616886431.3331,118
599616886439.0255,125
599616886446.7178,132
599616886454.4102,142
599616886462.1024,147
599616886469.7947,152
599616886477.487,157
599616886485.1793,140
599616886492.8716,120
599616886500.564,108
599616886508.2562,84
599616886515.9486,67
599616886523.6409,65
599616886531.3331,50
599616886539.0255,26
599616886546.7178,-2
599616886554.4102,-33
599616886562.1024,-36
599616886569.7947,-31
599616886577.487,-43
599616886585.1793,-43
599616886592.8716,-41
599616886600.564,-48
599616886608.2562,-43
599616886615.9486,-36
599616886623.6409,-41
599616886631.3331,-33
599616886639.0255,-26
599616886646.7178,-24
599616886654.4102,-16
599616886662.1024,-7
599616886669.7947,-7
599616886677.487,-2
599616886685.1793,0
599616886692.8716,0
599616886700.564,7
599616886708.2562,12
599616886715.9486,9
599616886723.6409,14
599616886731.3331,14
599616886739.0255,16
599616886746.7178,24
599616886754.4102,29
599616886762.1024,24
599616886769.7947,24
599616886777.487,26
599616886785.1793,29
599616886792.8716,36
599616886800.564,38
599616886808.2562,41
599616886815.9486,45
599616886823.6409,45
599616886831.3331,58
599616886839.0255,74
599616886846.7178,74
599616886854.4102,58
599616886862.1024,38
599616886869.7947,29
599616886877.487,41
599616886885.1793,48
599616886892.8716,38
599616886900.564,33
599616886908.2562,36
599616886915.9486,38
599616886923.6409,43
599616886931.3331,53
599616886939.0255,58
599616886946.7178,55
599616886954.4102,53
599616886962.1024,77
599616886969.7947,132
599616886977.487,188
599616886985.2687,219
599616886992.9609,212
599616887000.6533,84
599616887008.3456,-195
599616887016.038,-348
599616887023.7302,-174
599616887031.4225,33
599616887039.1149,55
599616887046.8071,24
599616887054.4994,38
599616887062.1918,45
599616887069.884,36
599616887077.5764,41
599616887085.2687,45
599616887092.9609,41
599616887100.6533,48
599616887108.3456,60
599616887116.038,62
599616887123.7302,67
599616887131.4225,70
599616887139.1149,70
599616887146.8071,79
599616887154.4994,91
599616887162.1918,99
599616887169.884,103
599616887177.5764,103
599616887185.2687,111
599616887192.9609,128
599616887200.6533,140
599616887208.3456,142
599616887216.038,142
599616887223.7302,140
599616887231.4225,135
599616887239.1149,137
599616887246.8071,135
599616887254.4994,123
599616887262.1918,106
599616887269.884,84
599616887277.5764,67
599616887285.2687,62
599616887292.9609,55
599616887300.6533,41
599616887308.3456,29
599616887316.038,19
599616887323.7302,19
599616887331.4225,31
599616887339.1149,31
599616887346.8071,26
599616887354.4994,24
599616887362.1918,14
599616887369.884,9
599616887377.5764,16
599616887385.2687,24
599616887392.9609,26
599616887400.6533,24
599616887408.3456,21
599616887416.038,24
599616887423.7302,31
599616887431.4225,33
599616887439.1149,36
599616887446.8071,33
599616887454.4994,26
599616887462.1918,29
599616887469.884,36
599616887477.5764,38
599616887485.2687,41
599616887492.9609,41
599616887500.6533,24
599616887508.3456,9
599616887516.038,19
599616887523.7302,29
599616887531.4225,29
599616887539.1149,31
599616887546.8965,31
599616887554.5887,33
599616887562.2811,38
599616887569.9734,48
599616887577.6658,62
599616887585.358,55
599616887593.0503,33
599616887600.7427,19
599616887608.4349,24
599616887616.1272,31
599616887623.8196,19
599616887631.5118,-16
599616887639.2042,-36
599616887646.8965,-14
599616887654.5887,4
599616887662.2811,2
599616887669.9734,7
599616887677.6658,12
599616887685.358,12
599616887693.0503,26
599616887700.7427,65
599616887708.4349,118
599616887716.1272,166
599616887723.8196,188
599616887731.5118,174
599616887739.2042,26
599616887746.8965,-248
599616887754.5887,-331
599616887762.2811,-125
599616887769.9734,45
599616887777.6658,58
599616887785.358,62
599616887793.0503,84
599616887800.7427,74
599616887808.4349,58
599616887816.1272,60
599616887823.8196,65
599616887831.5118,67
599616887839.2042,74
599616887846.8965,79
599616887854.5887,79
599616887862.2811,79
599616887869.9734,82
599616887877.6658,89
599616887885.358,96
599616887893.0503,101
599616887900.7427,103
599616887908.4349,108
599616887916.1272,116
599616887923.8196,128
599616887931.5118,140
599616887939.2042,147
599616887946.8965,147
599616887954.5887,145
599616887962.2811,145
599616887969.9734,145
599616887977.6658,142
599616887985.358,135
599616887993.0503,113
599616888000.7427,84
599616888008.4349,55
599616888016.1272,48
599616888023.8196,48
599616888031.5118,31
599616888039.2042,14
599616888046.8965,4
599616888054.5887,-2
599616888062.2811,0
599616888069.9734,12
599616888077.6658,12
599616888085.358,7
599616888093.0503,7
599616888100.7427,4
599616888108.5244,0
599616888116.2167,2
599616888123.909,4
599616888131.6013,4
599616888139.2937,9
599616888146.986,9
599616888154.6782,14
599616888162.3706,14
599616888170.0629,-7
599616888177.7551,-26
599616888185.4475,-16
599616888193.1398,-7
599616888200.8322,-7
599616888208.5244,-2
599616888216.2167,-2
