timestamp_ms,value
599617039493.3737,159
599617039501.0659,173
599617039508.7583,176
599617039516.4506,157
599617039524.143,117
599617039531.8352,61
599617039539.5275,-2
599617039547.2198,-49
599617039554.9121,-72
599617039562.6044,-93
599617039570.2968,-103
599617039577.989,-98
599617039585.6814,-89
599617039593.3737,-86
599617039601.0659,-84
599617039608.7583,-79
599617039616.4506,-75
599617039624.143,-72
599617039631.8352,-72
599617039639.5275,-75
599617039647.2198,-75
599617039654.9121,-75
599617039662.6044,-75
599617039670.2968,-79
599617039677.989,-84
599617039685.6814,-84
599617039693.3737,-84
599617039701.0659,-86
599617039708.7583,-84
599617039716.4506,-79
599617039724.143,-79
599617039731.8352,-82
599617039739.5275,-79
599617039747.2198,-77
599617039754.9121,-77
599617039762.6044,-84
599617039770.2968,-84
599617039777.989,-79
599617039785.6814,-77
599617039793.3737,-84
599617039801.0659,-86
599617039808.7583,-86
599617039816.4506,-84
599617039824.143,-84
599617039831.8352,-84
599617039839.5275,-84
599617039847.2198,-82
599617039854.9121,-86
599617039862.6044,-96
599617039870.2968,-98
599617039877.989,-91
599617039885.6814,-82
599617039893.3737,-70
599617039901.0659,-53
599617039908.7583,-44
599617039916.4506,-51
599617039924.143,-68
599617039931.8352,-77
599617039939.5275,-79
599617039947.2198,-79
599617039954.9121,-79
599617039962.6044,-77
599617039970.2968,-77
599617039977.989,-79
599617039985.6814,-82
599617039993.3737,-79
599617040001.0659,-68
599617040008.7583,-18
599617040016.4506,145
599617040024.143,427
599617040031.8352,474
599617040039.5275,-79
599617040047.2198,-579
599617040054.7218,-307
599617040062.4141,21
599617040070.1064,-98
599617040077.7987,-147
599617040085.4911,-53
599617040093.1833,-65
599617040100.8756,-89
599617040108.568,-58
599617040116.2603,-56
599617040123.9525,-70
599617040131.6449,-61
599617040139.3372,-51
599617040147.0295,-51
599617040154.7218,-46
599617040162.4141,-39
599617040170.1064,-35
599617040177.7987,-30
599617040185.4911,-25
599617040193.1833,-11
599617040200.8756,0
599617040208.568,7
599617040216.2603,25
599617040223.9525,44
599617040231.6449,61
599617040239.3372,86
599617040247.0295,107
599617040254.7218,117
599617040262.4141,129
599617040270.1064,133
599617040277.7987,124
599617040285.4911,84
599617040293.1833,28
599617040300.8756,-28
599617040308.568,-75
599617040316.2603,-105
599617040323.9525,-124
599617040331.6449,-131
599617040339.3372,-131
599617040347.0295,-126
599617040354.7218,-122
599617040362.4141,-117
599617040370.1064,-110
599617040377.7987,-107
599617040385.4911,-107
599617040393.1833,-107
599617040400.8756,-110
599617040408.568,-107
599617040416.2603,-107
599617040423.9525,-110
599617040431.6449,-112
599617040439.3372,-112
599617040447.0295,-115
