timestamp_ms,value
599616565031.5231,854
599616565039.2153,823
599616565046.9077,33
599616565054.6,-654
599616565062.2924,-354
599616565069.9846,78
599616565077.6769,-23
599616565085.3693,-114
599616565093.0615,-23
599616565100.7538,-11
599616565108.4462,-35
599616565116.1384,-2
599616565123.8308,16
599616565131.5231,-7
599616565139.2153,-16
599616565146.9077,0
599616565154.6,-7
599616565162.2924,-19
599616565169.9846,-11
599616565177.6769,-7
599616565185.3693,-16
599616565193.0615,-14
599616565200.7538,-2
599616565208.4462,4
599616565216.1384,9
599616565223.8308,16
599616565231.5231,26
599616565239.2153,40
599616565246.9077,47
599616565254.6,47
599616565262.2924,47
599616565269.9846,45
599616565277.6769,40
599616565285.3693,28
599616565293.0615,2
599616565300.7538,-45
599616565308.4462,-85
599616565316.1384,-85
599616565323.8308,-61
599616565331.5231,-52
599616565339.2153,-42
599616565346.9077,-21
599616565354.6,-7
599616565362.2924,-2
599616565369.9846,4
599616565377.6769,11
599616565385.3693,14
599616565393.0615,16
599616565400.7538,19
599616565408.4462,21
599616565416.1384,30
599616565423.8308,26
599616565431.5231,11
599616565439.2153,16
599616565446.9077,35
599616565454.6,42
599616565462.2924,52
599616565469.9846,61
599616565477.6769,64
599616565485.3693,61
599616565493.0615,64
599616565500.7538,73
599616565508.4462,83
599616565516.1384,80
599616565523.8308,78
599616565531.5231,80
599616565539.2153,80
599616565546.9077,85
599616565554.6,95
599616565562.2924,97
599616565569.9846,92
599616565577.6769,90
599616565585.3693,90
599616565593.6443,90
599616565601.3365,99
599616565609.0289,107
599616565616.7212,99
599616565624.4136,88
599616565632.1058,90
599616565639.7981,99
599616565647.4905,104
599616565655.1827,107
599616565662.875,102
599616565670.5674,88
599616565678.2596,73
599616565685.952,83
599616565693.6443,109
599616565701.3365,130
599616565709.0289,114
599616565716.7212,78
599616565724.4136,64
599616565732.1058,71
599616565739.7981,64
599616565747.4905,47
599616565755.1827,21
599616565762.875,-23
599616565770.5674,-30
599616565778.2596,4
599616565785.952,21
599616565793.6443,42
599616565801.3365,178
599616565809.0289,490
599616565816.7212,802
599616565824.4136,545
599616565832.1058,-357
599616565839.7981,-768
599616565847.4905,-288
599616565855.1827,0
599616565862.875,-123
599616565870.5674,-80
599616565878.2596,14
599616565885.952,-26
599616565893.6443,-42
599616565901.3365,-4
599616565909.0289,4
599616565916.7212,-4
599616565924.4136,-7
599616565932.1058,-2
599616565939.7981,-4
599616565947.4905,-14
599616565955.1827,-11
599616565962.875,-4
599616565970.5674,-9
599616565978.2596,-11
599616565985.952,-11
599616565993.6443,-9
599616566001.3365,9
599616566009.0289,23
599616566016.7212,28
599616566024.4136,30
599616566032.1058,23
599616566039.7981,23
599616566047.4905,28
599616566055.1827,23
599616566062.875,9
599616566070.5674,-9
599616566078.2596,-35
599616566085.952,-52
599616566093.6443,-57
