timestamp_ms,value
599617642487.0253,-145
599617642494.7175,-110
599617642502.4099,-95
599617642510.1022,-117
599617642517.7946,-105
599617642525.4868,-93
599617642533.1791,-102
599617642540.8715,-102
599617642548.5637,-95
599617642556.256,-95
599617642563.9484,-93
599617642571.6406,-83
599617642579.333,-81
599617642587.0253,-78
599617642594.7175,-62
599617642602.4099,-50
599617642610.1022,-40
599617642617.7946,-23
599617642625.4868,-9
599617642633.1791,4
599617642640.8715,31
599617642648.5637,47
599617642656.256,52
599617642663.9484,52
599617642671.6406,45
599617642679.333,11
599617642687.0253,-35
599617642694.7175,-81
599617642702.4099,-117
599617642710.1022,-145
599617642717.7946,-160
599617642725.4868,-165
599617642733.1791,-165
599617642740.8715,-160
599617642748.5637,-157
599617642756.256,-153
599617642763.9484,-150
599617642771.6406,-143
599617642779.333,-141
599617642787.0253,-143
599617642794.7175,-141
599617642802.4099,-136
599617642810.1022,-131
599617642817.7946,-126
599617642825.4868,-124
599617642833.1791,-122
599617642840.8715,-119
599617642848.5637,-117
599617642856.256,-119
599617642863.9484,-114
599617642871.6406,-112
599617642879.333,-112
599617642887.0253,-102
599617642894.7175,-88
599617642902.4099,-86
599617642910.1022,-95
599617642917.7946,-100
599617642925.4868,-102
599617642933.1791,-112
599617642940.8715,-122
599617642948.5637,-114
599617642956.256,-107
599617642963.9484,-114
599617642971.6406,-114
599617642979.333,-105
599617642987.0253,-102
599617642994.7175,-105
599617643002.4099,-102
599617643010.1022,-100
599617643017.7946,-98
599617643025.4868,-76
599617643033.1791,-14
599617643040.8715,95
599617643048.2767,210
599617643055.969,136
599617643063.6614,-220
599617643071.3536,-447
599617643079.046,-251
599617643086.7383,-45
599617643094.4305,-81
599617643102.1229,-114
599617643109.8152,-66
599617643117.5074,-66
599617643125.1998,-86
599617643132.8921,-71
599617643140.5845,-62
599617643148.2767,-69
599617643155.969,-66
599617643163.6614,-59
599617643171.3536,-59
599617643179.046,-50
599617643186.7383,-40
599617643194.4305,-43
599617643202.1229,-33
599617643209.8152,-23
599617643217.5074,-19
599617643225.1998,0
599617643232.8921,19
599617643240.5845,35
599617643248.2767,55
599617643255.969,71
599617643263.6614,86
599617643271.3536,93
599617643279.046,88
599617643286.7383,74
599617643294.4305,38
599617643302.1229,-11
599617643309.8152,-57
599617643317.5074,-88
599617643325.1998,-107
599617643332.8921,-119
599617643340.5845,-122
599617643348.2767,-119
599617643355.969,-119
599617643363.6614,-112
599617643371.3536,-107
599617643379.046,-105
599617643386.7383,-102
599617643394.4305,-102
599617643402.1229,-98
599617643409.8152,-93
599617643417.5074,-90
599617643425.1998,-86
599617643432.8921,-83
599617643440.5845,-83
599617643448.2767,-81
599617643455.969,-76
599617643463.6614,-76
