timestamp_ms,value
599616077545.5972,-97
599616077553.2894,-95
599616077560.9818,-95
599616077568.6741,-90
599616077576.3665,-90
599616077584.0587,-90
599616077591.751,-90
599616077599.4434,-90
599616077607.1356,-90
599616077614.8279,-88
599616077622.5203,-85
599616077630.2125,-85
599616077637.9049,-85
599616077645.5972,-85
599616077653.2894,-83
599616077660.9818,-85
599616077668.6741,-88
599616077676.3665,-85
599616077684.0587,-83
599616077691.751,-85
599616077699.4434,-83
599616077707.1356,-83
599616077714.8279,-85
599616077722.5203,-85
599616077730.2125,-83
599616077737.9049,-78
599616077745.5972,-78
599616077753.2894,-80
599616077760.9818,-83
599616077768.6741,-83
599616077776.3665,-83
599616077784.0587,-80
599616077791.751,-78
599616077799.4434,-78
599616077807.1356,-78
599616077814.8279,-78
599616077822.5203,-78
599616077830.2125,-73
599616077837.9049,-61
599616077845.5972,-49
599616077853.2894,-40
599616077860.9818,-35
599616077868.6741,-42
599616077876.3665,-57
599616077884.0587,-66
599616077891.751,-69
599616077899.4434,-76
599616077907.1356,-85
599616077914.8279,-90
599616077922.5203,-92
599616077930.2125,-92
599616077937.9049,-92
599616077945.5972,-95
599616077953.2894,-88
599616077960.9818,-83
599616077968.6741,-85
599616077976.3665,-80
599616077984.0587,-47
599616077991.751,21
599616077999.4434,154
599616078007.1356,349
599616078014.8279,521
599616078022.5203,411
599616078030.2125,-116
599616078037.9049,-495
599616078045.5972,-304
599616078053.2894,-97
599616078060.9818,-157
599616078068.6741,-188
599616078076.3665,-209
599616078084.0587,-297
599616078091.751,-328
599616078099.4434,-266
599616078106.818,-173
599616078114.5103,-90
599616078122.2026,-57
599616078129.8949,-54
599616078137.5873,-42
599616078145.2795,-33
599616078152.9718,-33
599616078160.6642,-30
599616078168.3564,-30
599616078176.0487,-33
599616078183.7411,-30
599616078191.4333,-28
599616078199.1257,-28
599616078206.818,-26
599616078214.5103,-23
599616078222.2026,-21
599616078229.8949,-21
599616078237.5873,-21
599616078245.2795,-14
599616078252.9718,-7
599616078260.6642,-2
599616078268.3564,0
599616078276.0487,7
599616078283.7411,14
599616078291.4333,21
599616078299.1257,26
599616078306.818,28
599616078314.5103,30
599616078322.2026,33
599616078329.8949,26
599616078337.5873,14
599616078345.2795,0
599616078352.9718,-19
599616078360.6642,-42
599616078368.3564,-61
599616078376.0487,-80
599616078383.7411,-95
599616078391.4333,-102
599616078399.1257,-107
599616078406.818,-109
599616078414.5103,-114
599616078422.2026,-114
599616078429.8949,-107
599616078437.5873,-107
599616078445.2795,-109
599616078452.9718,-107
599616078460.6642,-104
599616078468.3564,-97
599616078476.0487,-97
599616078483.7411,-97
599616078491.4333,-92
599616078499.1257,-90
599616078506.818,-92
599616078514.5103,-95
599616078522.2026,-95
599616078529.8949,-92
599616078537.5873,-92
599616078545.2795,-92
599616078552.9718,-90
599616078560.6642,-90
599616078568.3564,-97
599616078576.0487,-95
599616078583.7411,-88
599616078591.4333,-85
599616078599.1257,-90
599616078606.818,-90
599616078614.5103,-88
599616078622.2026,-88
599616078629.8949,-88
599616078637.5873,-85
599616078645.2795,-88
599616078652.9718,-88
599616078660.6642,-83
599616078668.0084,-83
599616078675.7007,-85
599616078683.3931,-83
599616078691.0853,-83
599616078698.7777,-80
599616078706.47,-80
599616078714.1622,-83
599616078721.8546,-73
599616078729.5469,-59
599616078737.2391,-45
599616078744.9315,-38
599616078752.6238,-49
599616078760.3162,-69
599616078768.0084,-83
599616078775.7007,-83
599616078783.3931,-83
599616078791.0853,-90
599616078798.7777,-99
599616078806.47,-99
599616078814.1622,-99
599616078821.8546,-99
599616078829.5469,-99
599616078837.2391,-97
599616078844.9315,-92
599616078852.6238,-88
599616078860.3162,-61
599616078868.0084,14
599616078875.7007,152
599616078883.3931,342
599616078891.0853,516
599616078898.7777,418
599616078906.47,-107
599616078914.1622,-507
599616078921.8546,-309
599616078929.5469,-83
599616078937.2391,-154
599616078944.9315,-195
599616078952.6238,-197
599616078960.3162,-278
599616078968.0084,-330
599616078975.7007,-304
599616078983.3931,-238
599616078991.0853,-142
599616078998.7777,-73
599616079006.47,-54
599616079014.1622,-47
599616079021.8546,-38
599616079029.5469,-33
599616079037.2391,-33
599616079044.9315,-30
599616079052.6238,-26
599616079060.3162,-28
599616079068.0084,-30
599616079075.7007,-28
599616079083.3931,-26
599616079091.0853,-26
599616079098.7777,-19
599616079106.47,-11
599616079114.1622,-11
599616079121.8546,-14
599616079129.5469,-9
599616079137.2391,0
599616079144.9315,7
599616079152.6238,11
599616079160.3162,16
599616079168.0084,21
599616079175.7007,28
599616079183.3931,30
599616079191.0853,28
599616079198.7777,28
599616079206.47,26
599616079214.1622,9
599616079221.8546,-9
599616079229.2295,-26
599616079236.9218,-40
599616079244.6141,-64
599616079252.3064,-85
599616079259.9988,-95
599616079267.691,-102
599616079275.3833,-111
599616079283.0757,-114
599616079290.768,-111
599616079298.4602,-114
599616079306.1526,-119
599616079313.8448,-116
599616079321.5372,-114
599616079329.2295,-109
599616079336.9218,-104
599616079344.6141,-102
599616079352.3064,-104
599616079359.9988,-99
599616079367.691,-92
599616079375.3833,-88
599616079383.0757,-92
599616079390.768,-95
599616079398.4602,-95
599616079406.1526,-90
599616079413.8448,-88
599616079421.5372,-92
599616079429.2295,-95
599616079436.9218,-95
599616079444.6141,-97
599616079452.3064,-92
599616079459.9988,-90
599616079467.691,-90
599616079475.3833,-88
599616079483.0757,-92
599616079490.768,-92
599616079498.4602,-88
599616079506.1526,-88
599616079513.8448,-83
599616079521.5372,-73
599616079529.2295,-66
599616079536.9218,-59
599616079544.6141,-54
599616079552.3064,-64
599616079559.9988,-76
599616079567.691,-83
