timestamp_ms,value
599617589071.0392,-104
599617589078.7314,-104
599617589086.4238,-106
599617589094.1161,-56
599617589101.8085,236
599617589109.5007,814
599617589117.193,1210
599617589124.8854,672
599617589132.5776,-568
599617589140.2699,-982
599617589147.9623,-343
599617589155.6545,-71
599617589163.3469,-267
599617589171.0392,-206
599617589178.7314,-92
599617589186.4238,-149
599617589194.1161,-153
599617589201.8085,-99
599617589209.5007,-101
599617589217.193,-106
599617589224.8854,-82
599617589232.5776,-73
599617589240.2699,-71
599617589247.9623,-56
599617589255.6545,-44
599617589263.3469,-33
599617589271.0392,-16
599617589278.7314,-2
599617589286.4238,14
599617589294.1161,33
599617589301.8085,52
599617589309.5007,63
599617589317.193,75
599617589324.8854,85
599617589332.5776,87
599617589340.2699,66
599617589347.9623,21
599617589355.6545,-28
599617589363.3469,-73
599617589371.0392,-108
599617589378.7314,-134
599617589386.4238,-146
599617589394.1161,-149
599617589401.8085,-151
599617589409.5007,-151
599617589417.193,-146
599617589424.8854,-137
599617589432.5776,-130
599617589440.2699,-127
599617589447.9623,-127
599617589455.6545,-120
599617589463.3469,-116
599617589471.0392,-116
599617589478.7314,-111
599617589486.4238,-106
599617589494.1161,-111
599617589501.8085,-111
599617589509.5007,-106
599617589517.193,-104
599617589524.8854,-104
599617589532.5776,-104
599617589540.2699,-101
599617589547.9623,-101
599617589555.6545,-101
599617589563.3469,-106
599617589571.0392,-113
599617589578.7314,-104
599617589586.4238,-87
599617589594.1161,-80
599617589601.8085,-56
599617589609.5007,-28
599617589617.193,-47
599617589624.8854,-97
599617589632.4484,-118
599617589640.1406,-111
599617589647.833,-108
599617589655.5253,-111
599617589663.2177,-108
599617589670.9099,-106
599617589678.6022,-106
599617589686.2946,-108
599617589693.9868,-111
599617589701.6791,-9
599617589709.3715,393
599617589717.0637,996
599617589724.7561,1162
599617589732.4484,262
599617589740.1406,-862
599617589747.833,-776
599617589755.5253,-134
599617589763.2177,-134
599617589770.9099,-281
599617589778.6022,-149
599617589786.2946,-108
599617589793.9868,-165
599617589801.6791,-130
599617589809.3715,-97
599617589817.0637,-111
599617589824.7561,-101
599617589832.4484,-80
599617589840.1406,-78
599617589847.833,-73
599617589855.5253,-54
599617589863.2177,-42
599617589870.9099,-33
599617589878.6022,-16
599617589886.2946,0
599617589893.9868,18
599617589901.6791,37
599617589909.3715,47
599617589917.0637,54
599617589924.7561,66
599617589932.4484,75
599617589940.1406,75
599617589947.833,56
599617589955.5253,14
599617589963.2177,-35
599617589970.9099,-73
599617589978.6022,-101
