timestamp_ms,value
599617538141.9294,-48
599617538149.6217,-50
599617538157.3141,-50
599617538165.0063,-48
599617538172.6987,-43
599617538180.391,-38
599617538188.0833,-31
599617538195.7756,-31
599617538203.4679,-33
599617538211.1602,-24
599617538218.8525,-9
599617538226.5448,4
599617538234.2372,19
599617538241.9294,33
599617538249.6217,40
599617538257.3141,48
599617538265.0063,50
599617538272.6987,43
599617538280.391,28
599617538288.0833,4
599617538295.7756,-26
599617538303.4679,-52
599617538311.1602,-67
599617538318.8525,-81
599617538326.5448,-96
599617538334.2372,-108
599617538341.9294,-117
599617538349.6217,-122
599617538357.3141,-125
599617538365.0063,-125
599617538372.6987,-122
599617538380.391,-125
599617538388.0833,-125
599617538395.7756,-120
599617538403.4679,-117
599617538411.1602,-110
599617538418.8525,-103
599617538426.5448,-98
599617538434.2372,-101
599617538441.9294,-103
599617538449.6217,-96
599617538457.3141,-86
599617538465.0063,-79
599617538472.6987,-79
599617538480.391,-79
599617538488.0833,-76
599617538495.7756,-72
599617538503.4679,-72
599617538511.1602,-74
599617538518.8525,-76
599617538526.5448,-74
599617538534.2372,-74
599617538541.9294,-81
599617538549.6217,-81
599617538557.3141,-76
599617538565.0063,-79
599617538572.6987,-79
599617538580.391,-79
599617538588.0833,-79
599617538595.7756,-79
599617538603.4679,-79
599617538611.1602,-76
599617538618.8525,-74
599617538626.5448,-76
599617538634.2372,-76
599617538641.9294,-72
599617538649.6217,-69
599617538657.3141,-72
599617538665.0063,-72
599617538672.6987,-67
599617538680.391,-67
599617538688.0833,-64
599617538695.7756,-62
599617538703.2776,-60
599617538710.9698,-55
599617538718.6622,-48
599617538726.3545,-28
599617538734.0469,-12
599617538741.7391,-16
599617538749.4314,-21
599617538757.1238,-28
599617538764.816,-50
599617538772.5083,-69
599617538780.2007,-79
599617538787.893,-108
599617538795.5853,-125
599617538803.2776,-113
599617538810.9698,-103
599617538818.6622,-105
599617538826.3545,-103
599617538834.0469,-108
599617538841.7391,-101
599617538849.4314,-28
599617538857.1238,144
599617538864.816,315
599617538872.5083,264
599617538880.2007,-105
599617538887.893,-512
599617538895.5853,-521
599617538903.2776,-274
599617538910.9698,-187
599617538918.6622,-180
599617538926.3545,-108
599617538934.0469,-81
599617538941.7391,-110
599617538949.4314,-105
599617538957.1238,-88
599617538964.816,-93
599617538972.5083,-98
599617538980.2007,-86
599617538987.893,-84
599617538995.5853,-84
599617539003.2776,-76
599617539010.9698,-72
599617539018.6622,-69
599617539026.3545,-64
599617539034.0469,-55
599617539041.7391,-48
599617539049.4314,-43
599617539057.1238,-33
599617539064.816,-14
599617539072.5083,7
599617539080.2007,31
599617539087.893,55
599617539095.5853,69
599617539103.2776,72
599617539110.9698,69
599617539118.6622,60
599617539126.3545,45
599617539134.0469,24
599617539141.7391,-2
599617539149.4314,-26
599617539157.1238,-48
599617539164.816,-60
599617539172.5083,-74
599617539180.2007,-86
599617539187.893,-96
599617539195.5853,-101
599617539203.2776,-101
599617539210.9698,-105
599617539218.6622,-108
599617539226.3545,-110
599617539234.0469,-113
599617539241.7391,-110
599617539249.4314,-105
599617539257.1238,-101
599617539264.6256,-93
599617539272.3179,-86
599617539280.0103,-81
599617539287.7025,-76
599617539295.3949,-67
599617539303.0872,-60
599617539310.7794,-55
599617539318.4718,-55
599617539326.1641,-67
599617539333.8563,-76
599617539341.5487,-69
599617539349.241,-67
599617539356.9333,-72
599617539364.6256,-81
599617539372.3179,-96
599617539380.0103,-103
599617539387.7025,-98
599617539395.3949,-96
599617539403.0872,-98
599617539410.7794,-101
599617539418.4718,-101
599617539426.1641,-101
599617539433.8563,-93
599617539441.5487,-93
599617539449.241,-98
599617539456.9333,-101
599617539464.6256,-101
599617539472.3179,-101
599617539480.0103,-91
599617539487.7025,-62
599617539495.3949,-33
599617539503.0872,-26
599617539510.7794,-33
599617539518.4718,-40
599617539526.1641,-57
599617539533.8563,-74
599617539541.5487,-86
599617539549.241,-101
599617539556.9333,-110
599617539564.6256,-105
599617539572.3179,-101
599617539580.0103,-101
599617539587.7025,-93
599617539595.3949,-88
599617539603.0872,-84
599617539610.7794,-28
599617539618.4718,127
599617539626.1641,295
599617539633.8563,271
