timestamp_ms,value
599616740728.9897,-149
599616740736.682,-147
599616740744.3744,-147
599616740752.0667,-149
599616740759.759,-147
599616740767.4513,-142
599616740775.1436,-142
599616740782.8359,-140
599616740790.5282,-137
599616740798.2205,-137
599616740805.9128,-137
599616740813.6051,-137
599616740821.2975,-137
599616740828.9897,-140
599616740836.682,-140
599616740844.3744,-137
599616740852.0667,-133
599616740859.759,-130
599616740867.4513,-130
599616740875.1436,-133
599616740882.8359,-133
599616740890.5282,-133
599616740898.2205,-135
599616740905.9128,-135
599616740913.6051,-133
599616740921.2975,-135
599616740928.9897,-135
599616740936.682,-133
599616740944.3744,-130
599616740952.0667,-133
599616740959.759,-133
599616740967.4513,-130
599616740975.1436,-123
599616740982.8359,-114
599616740990.5282,-106
599616740998.2205,-102
599616741005.9128,-97
599616741013.6051,-90
599616741021.2975,-92
599616741028.9897,-109
599616741036.682,-121
599616741044.3744,-130
599616741052.0667,-140
599616741059.759,-140
599616741067.4513,-140
599616741075.1436,-142
599616741082.8359,-142
599616741090.5282,-142
599616741098.2205,-144
599616741105.9128,-144
599616741113.6051,-144
599616741121.2975,-142
599616741128.9897,-125
599616741136.682,-71
599616741144.3744,57
599616741152.0667,225
599616741159.759,261
599616741167.4513,21
599616741175.1436,-301
599616741182.8359,-380
599616741190.5282,-244
599616741198.2205,-166
599616741205.9128,-182
599616741213.6051,-171
599616741221.2975,-147
599616741228.9897,-149
599616741236.682,-152
599616741244.3744,-140
599616741252.0667,-137
599616741259.759,-140
599616741267.4513,-135
599616741275.1436,-130
599616741282.8359,-125
599616741290.3683,-123
599616741298.0605,-118
599616741305.7529,-114
599616741313.4452,-111
599616741321.1376,-106
599616741328.8298,-102
599616741336.5221,-99
599616741344.2145,-90
599616741351.9067,-78
599616741359.599,-73
599616741367.2914,-66
599616741374.9836,-59
599616741382.676,-52
599616741390.3683,-47
599616741398.0605,-47
599616741405.7529,-49
599616741413.4452,-54
599616741421.1376,-59
599616741428.8298,-68
599616741436.5221,-80
599616741444.2145,-92
599616741451.9067,-106
599616741459.599,-121
599616741467.2914,-135
599616741474.9836,-142
599616741482.676,-144
599616741490.3683,-147
599616741498.0605,-149
599616741505.7529,-149
599616741513.4452,-147
599616741521.1376,-142
599616741528.8298,-142
599616741536.5221,-140
599616741544.2145,-140
599616741551.9067,-140
599616741559.599,-137
599616741567.2914,-135
599616741574.9836,-135
599616741582.676,-137
599616741590.3683,-135
599616741598.0605,-133
599616741605.7529,-133
599616741613.4452,-133
599616741621.1376,-133
599616741628.8298,-133
599616741636.5221,-135
599616741644.2145,-135
599616741651.9067,-133
599616741659.599,-130
599616741667.2914,-135
599616741674.9836,-137
599616741682.676,-140
