timestamp_ms,value
599617255258.2888,-122
599617255265.9811,-124
599617255273.6735,-119
599617255281.3657,-112
599617255289.0581,-110
599617255296.7504,-115
599617255304.4426,-119
599617255312.135,-117
599617255319.8273,-110
599617255327.5195,-107
599617255335.2119,-122
599617255342.9042,-143
599617255350.5966,-153
599617255358.2888,-141
599617255365.9811,-136
599617255373.6735,-136
599617255381.3657,-131
599617255389.0581,-129
599617255396.7504,-129
599617255404.4426,-124
599617255412.135,-122
599617255419.8273,-119
599617255427.5195,-112
599617255435.2119,-110
599617255442.9042,-112
599617255450.5966,-112
599617255458.2888,-105
599617255465.9811,-103
599617255473.6735,-103
599617255481.3657,-103
599617255489.0581,-105
599617255496.7504,-107
599617255504.4426,-107
599617255512.135,-105
599617255519.8273,-107
599617255527.5195,-107
599617255535.2119,-107
599617255542.9042,-107
599617255550.5966,-103
599617255558.2888,-98
599617255565.9811,-98
599617255573.6735,-100
599617255581.3657,-98
599617255589.0581,-98
599617255596.7504,-98
599617255604.4426,-93
599617255612.135,-93
599617255619.8273,-95
599617255627.5195,-95
599617255635.2119,-91
599617255642.9042,-88
599617255650.5966,-88
599617255658.2888,-91
599617255665.9811,-88
599617255673.6735,-83
599617255681.3657,-81
599617255689.0581,-83
599617255696.7504,-86
599617255704.4426,-81
599617255712.135,-79
599617255719.8273,-79
599617255727.5195,-71
599617255735.2119,-64
599617255742.9042,-59
599617255750.5966,-59
599617255758.2888,-62
599617255765.9811,-69
599617255773.6735,-81
599617255781.3657,-88
599617255789.0581,-93
599617255796.7504,-95
599617255804.4426,-103
599617255812.135,-103
599617255819.7284,-95
599617255827.4207,-91
599617255835.113,-95
599617255842.8053,-103
599617255850.4977,-110
599617255858.19,-103
599617255865.8822,-62
599617255873.5746,14
599617255881.2668,83
599617255888.9591,100
599617255896.6515,14
599617255904.3438,-172
599617255912.0361,-313
599617255919.7284,-297
599617255927.4207,-213
599617255935.113,-131
599617255942.8053,-86
599617255950.4977,-95
599617255958.19,-107
599617255965.8822,-91
599617255973.5746,-91
599617255981.2668,-98
599617255988.9591,-95
599617255996.6515,-95
599617256004.3438,-98
599617256012.0361,-95
599617256019.7284,-98
599617256027.4207,-98
599617256035.113,-100
599617256042.8053,-100
599617256050.4977,-93
599617256058.19,-91
599617256065.8822,-91
599617256073.5746,-91
599617256081.2668,-93
599617256088.9591,-98
599617256096.6515,-98
599617256104.3438,-100
599617256112.0361,-100
599617256119.7284,-98
599617256127.4207,-95
599617256135.113,-95
599617256142.8053,-93
599617256150.4977,-93
599617256158.19,-95
599617256165.8822,-93
599617256173.5746,-93
599617256181.2668,-103
599617256188.9591,-103
599617256196.6515,-98
599617256204.3438,-98
599617256212.0361,-103
599617256219.7284,-105
599617256227.4207,-110
599617256235.113,-112
599617256242.8053,-112
599617256250.4977,-115
599617256258.19,-112
599617256265.8822,-110
599617256273.5746,-110
599617256281.2668,-110
599617256288.9591,-110
599617256296.6515,-107
599617256304.3438,-103
599617256312.0361,-100
599617256319.7284,-100
599617256327.4207,-95
599617256335.113,-91
599617256342.8053,-103
599617256350.4977,-115
599617256358.19,-115
599617256365.8822,-110
599617256373.5746,-110
599617256381.1376,-110
599617256388.8298,-107
599617256396.5222,-103
599617256404.2145,-103
599617256411.9069,-103
599617256419.5991,-105
599617256427.2914,-115
599617256434.9838,-117
599617256442.676,-110
599617256450.3683,-107
599617256458.0607,-105
599617256465.7529,-105
599617256473.4453,-110
599617256481.1376,-112
599617256488.8298,-110
599617256496.5222,-107
599617256504.2145,-105
599617256511.9069,-105
599617256519.5991,-105
599617256527.2914,-100
599617256534.9838,-95
599617256542.676,-93
599617256550.3683,-95
599617256558.0607,-93
599617256565.7529,-88
599617256573.4453,-86
599617256581.1376,-86
599617256588.8298,-81
599617256596.5222,-81
599617256604.2145,-86
599617256611.9069,-83
599617256619.5991,-76
599617256627.2914,-71
599617256634.9838,-71
599617256642.676,-74
599617256650.3683,-74
599617256658.0607,-69
599617256665.7529,-64
599617256673.4453,-62
599617256681.1376,-62
599617256688.8298,-62
599617256696.5222,-59
599617256704.2145,-62
599617256711.9069,-59
599617256719.5991,-52
599617256727.2914,-57
599617256734.9838,-74
599617256742.676,-71
599617256750.3683,-59
599617256758.0607,-62
599617256765.7529,-62
599617256773.4453,-55
599617256781.1376,-59
599617256788.8298,-62
599617256796.5222,-55
599617256804.2145,-52
599617256811.9069,-52
599617256819.5991,-52
599617256827.2914,-52
599617256834.9838,-52
599617256842.676,-55
599617256850.3683,-62
599617256858.0607,-69
599617256865.7529,-69
599617256873.4453,-69
599617256881.1376,-69
599617256888.8298,-67
599617256896.5222,-64
599617256904.2145,-62
599617256911.9069,-57
599617256919.5991,-59
599617256927.2914,-59
599617256934.9838,-55
599617256942.5466,-52
599617256950.2389,-47
599617256957.9313,-50
599617256965.6235,-47
599617256973.3159,-43
599617256981.0082,-40
599617256988.7004,-38
599617256996.3928,-35
599617257004.0851,-45
599617257011.7773,-67
599617257019.4697,-76
599617257027.162,-76
599617257034.8544,-83
599617257042.5466,-83
599617257050.2389,-81
599617257057.9313,-81
599617257065.6235,-81
599617257073.3159,-76
599617257081.0082,-69
599617257088.7004,-64
599617257096.3928,-59
599617257104.0851,-26
599617257111.7773,52
599617257119.4697,136
599617257127.162,158
599617257134.8544,64
599617257142.5466,-124
599617257150.2389,-261
599617257157.9313,-246
599617257165.6235,-167
599617257173.3159,-86
599617257181.0082,-40
599617257188.7004,-57
599617257196.3928,-79
599617257204.0851,-69
599617257211.7773,-69
599617257219.4697,-79
599617257227.162,-83
599617257234.8544,-86
599617257242.5466,-83
599617257250.2389,-83
599617257257.9313,-83
599617257265.6235,-76
599617257273.3159,-71
599617257281.0082,-79
599617257288.7004,-81
599617257296.3928,-71
599617257304.0851,-64
599617257311.7773,-67
599617257319.4697,-64
599617257327.162,-59
599617257334.8544,-59
599617257342.5466,-59
599617257350.2389,-64
599617257357.9313,-71
599617257365.6235,-62
599617257373.3159,-55
599617257381.0082,-55
599617257388.7004,-55
599617257396.3928,-50
599617257404.0851,-45
599617257411.7773,-47
599617257419.4697,-52
599617257427.162,-50
599617257434.8544,-47
599617257442.5466,-50
599617257450.2389,-50
599617257457.9313,-50
599617257465.6235,-55
599617257473.3159,-62
599617257481.0082,-64
599617257488.7004,-59
599617257496.3928,-59
599617257503.9863,-59
599617257511.6786,-57
599617257519.371,-55
599617257527.0632,-52
599617257534.7556,-43
599617257542.4479,-43
599617257550.1401,-47
599617257557.8325,-45
599617257565.5248,-43
599617257573.217,-40
599617257580.9094,-35
599617257588.6017,-38
599617257596.2941,-52
599617257603.9863,-59
599617257611.6786,-52
599617257619.371,-47
599617257627.0632,-47
599617257634.7556,-50
599617257642.4479,-52
599617257650.1401,-50
599617257657.8325,-47
599617257665.5248,-45
599617257673.217,-45
599617257680.9094,-50
599617257688.6017,-50
599617257696.2941,-43
599617257703.9863,-45
599617257711.6786,-47
599617257719.371,-52
599617257727.0632,-57
599617257734.7556,-55
599617257742.4479,-50
599617257750.1401,-50
599617257757.8325,-47
599617257765.5248,-43
599617257773.217,-47
599617257780.9094,-50
599617257788.6017,-43
599617257796.2941,-40
599617257803.9863,-43
599617257811.6786,-38
599617257819.371,-38
599617257827.0632,-38
599617257834.7556,-35
599617257842.4479,-35
599617257850.1401,-38
599617257857.8325,-47
599617257865.5248,-55
599617257873.217,-50
599617257880.9094,-52
599617257888.6017,-57
599617257896.2941,-47
599617257903.9863,-38
599617257911.6786,-45
599617257919.371,-50
599617257927.0632,-45
599617257934.7556,-43
599617257942.4479,-43
599617257950.1401,-40
599617257957.8325,-43
599617257965.5248,-50
599617257973.217,-50
599617257980.9094,-47
599617257988.6017,-47
599617257996.2941,-47
599617258003.9863,-45
599617258011.6786,-43
599617258019.371,-38
599617258027.0632,-35
599617258034.7556,-35
599617258042.4479,-35
599617258050.1401,-38
599617258057.8325,-35
599617258065.3955,-33
599617258073.0878,-33
599617258080.7802,-35
599617258088.4724,-38
599617258096.1648,-40
599617258103.857,-35
599617258111.5493,-35
599617258119.2417,-43
599617258126.934,-47
599617258134.6262,-57
599617258142.3186,-64
599617258150.0109,-62
599617258157.7032,-59
599617258165.3955,-64
599617258173.0878,-64
599617258180.7802,-67
599617258188.4724,-69
599617258196.1648,-62
599617258203.857,-57
599617258211.5493,-71
599617258219.2417,-91
599617258226.934,-93
599617258234.6262,-91
599617258242.3186,-88
599617258250.0109,-88
599617258257.7032,-88
599617258265.3955,-88
599617258273.0878,-83
599617258280.7802,-79
599617258288.4724,-67
599617258296.1648,-33
599617258303.857,40
599617258311.5493,127
599617258319.2417,153
599617258326.934,71
599617258334.6262,-100
599617258342.3186,-239
599617258350.0109,-239
599617258357.7032,-170
599617258365.3955,-98
599617258373.0878,-50
599617258380.7802,-55
599617258388.4724,-64
599617258396.1648,-55
599617258403.857,-55
599617258411.5493,-59
599617258419.2417,-52
599617258426.934,-45
599617258434.6262,-45
599617258442.3186,-45
599617258450.0109,-40
599617258457.7032,-43
599617258465.3955,-43
599617258473.0878,-38
599617258480.7802,-35
599617258488.4724,-38
599617258496.1648,-38
599617258503.857,-33
599617258511.5493,-28
599617258519.2417,-23
599617258526.934,-21
599617258534.6262,-21
599617258542.3186,-19
599617258550.0109,-14
599617258557.7032,-7
599617258565.3955,-2
599617258573.0878,-4
599617258580.7802,-7
599617258588.4724,-9
599617258596.1648,-7
599617258603.857,-7
599617258611.5493,-7
599617258619.2417,-9
599617258626.8351,-19
599617258634.5273,-23
599617258642.2197,-21
599617258649.912,-19
599617258657.6044,-16
599617258665.2966,-23
599617258672.9889,-40
599617258680.6813,-50
599617258688.3735,-40
599617258696.0658,-40
599617258703.7582,-47
599617258711.4504,-50
599617258719.1428,-52
599617258726.8351,-52
599617258734.5273,-45
599617258742.2197,-43
599617258749.912,-43
599617258757.6044,-40
599617258765.2966,-43
599617258772.9889,-43
599617258780.6813,-38
599617258788.3735,-33
599617258796.0658,-33
599617258803.7582,-38
599617258811.4504,-40
599617258819.1428,-38
599617258826.8351,-33
599617258834.5273,-35
599617258842.2197,-35
599617258849.912,-35
599617258857.6044,-43
599617258865.2966,-57
599617258872.9889,-64
599617258880.6813,-57
599617258888.3735,-52
599617258896.0658,-59
599617258903.7582,-62
599617258911.4504,-57
599617258919.1428,-50
599617258926.8351,-47
599617258934.5273,-47
599617258942.2197,-47
599617258949.912,-55
599617258957.6044,-57
599617258965.2966,-50
599617258972.9889,-45
599617258980.6813,-47
599617258988.3735,-50
599617258996.0658,-47
599617259003.7582,-43
599617259011.4504,-40
599617259019.1428,-38
599617259026.8351,-38
599617259034.5273,-40
599617259042.2197,-43
599617259049.912,-38
599617259057.6044,-33
599617259065.2966,-33
599617259072.9889,-33
599617259080.6813,-33
599617259088.3735,-33
599617259096.0658,-31
599617259103.7582,-28
599617259111.4504,-26
599617259119.1428,-26
599617259126.8351,-28
599617259134.5273,-31
599617259142.2197,-26
599617259149.912,-26
599617259157.6044,-23
599617259165.2966,-23
599617259172.9889,-28
599617259180.6813,-31
599617259188.2443,-31
599617259195.9365,-33
599617259203.6289,-40
599617259211.3212,-40
599617259219.0135,-40
599617259226.7058,-47
599617259234.3981,-50
599617259242.0905,-43
599617259249.7827,-45
599617259257.475,-55
